z_m,potential_v,electric_field_v_m,charge_c_m3
  1.8365788280E+00,  1.8368292742E+00,  7.2949028252E-01, -2.3976618211E-12
  1.8448329532E+00,  1.8308171823E+00,  7.2725965702E-01, -2.3879248779E-12
  1.8531009104E+00,  1.8248134363E+00,  7.2503436714E-01, -2.3782278376E-12
  1.8613827238E+00,  1.8188180360E+00,  7.2281439950E-01, -2.3685705169E-12
  1.8696784175E+00,  1.8128309815E+00,  7.2059974080E-01, -2.3589527333E-12
  1.8779880160E+00,  1.8068522728E+00,  7.1839037777E-01, -2.3493743053E-12
  1.8863115436E+00,  1.8008819099E+00,  7.1618629719E-01, -2.3398350524E-12
  1.8946490248E+00,  1.7949198927E+00,  7.1398748587E-01, -2.3303347950E-12
  1.9030004841E+00,  1.7889662213E+00,  7.1179393069E-01, -2.3208733543E-12
  1.9113659460E+00,  1.7830208958E+00,  7.0960561855E-01, -2.3114505525E-12
  1.9197454353E+00,  1.7770839159E+00,  7.0742253641E-01, -2.3020662129E-12
  1.9281389767E+00,  1.7711552819E+00,  7.0524467127E-01, -2.2927201595E-12
  1.9365465950E+00,  1.7652349937E+00,  7.0307201016E-01, -2.2834122172E-12
  1.9449683151E+00,  1.7593230512E+00,  7.0090454018E-01, -2.2741422119E-12
  1.9534041620E+00,  1.7534194545E+00,  6.9874224845E-01, -2.2649099705E-12
  1.9618541607E+00,  1.7475242036E+00,  6.9658512214E-01, -2.2557153204E-12
  1.9703183362E+00,  1.7416372985E+00,  6.9443314848E-01, -2.2465580904E-12
  1.9787967138E+00,  1.7357587392E+00,  6.9228631472E-01, -2.2374381098E-12
  1.9872893188E+00,  1.7298885256E+00,  6.9014460816E-01, -2.2283552089E-12
  1.9957961764E+00,  1.7240266578E+00,  6.8800801614E-01, -2.2193092189E-12
  2.0043173121E+00,  1.7181731358E+00,  6.8587652606E-01, -2.2102999719E-12
  2.0128527512E+00,  1.7123279596E+00,  6.8375012534E-01, -2.2013273007E-12
  2.0214025195E+00,  1.7064911292E+00,  6.8162880145E-01, -2.1923910391E-12
  2.0299666425E+00,  1.7006626445E+00,  6.7951254191E-01, -2.1834910218E-12
  2.0385451459E+00,  1.6948425056E+00,  6.7740133426E-01, -2.1746270842E-12
  2.0471380555E+00,  1.6890307125E+00,  6.7529516612E-01, -2.1657990626E-12
  2.0557453971E+00,  1.6832272652E+00,  6.7319402512E-01, -2.1570067942E-12
  2.0643671967E+00,  1.6774321637E+00,  6.7109789893E-01, -2.1482501169E-12
  2.0730034803E+00,  1.6716454079E+00,  6.6900677528E-01, -2.1395288696E-12
  2.0816542739E+00,  1.6658669979E+00,  6.6692064194E-01, -2.1308428919E-12
  2.0903196038E+00,  1.6600969338E+00,  6.6483948669E-01, -2.1221920243E-12
  2.0989994962E+00,  1.6543352153E+00,  6.6276329740E-01, -2.1135761080E-12
  2.1076939774E+00,  1.6485818427E+00,  6.6069206194E-01, -2.1049949852E-12
