z_m,potential_v,electric_field_v_m,charge_c_m3
  5.4180537936E+00, -2.6849377738E+00, -2.3661449161E-01,  1.6205523418E-13
  5.4465826504E+00, -2.6781948783E+00, -2.3609264620E-01,  1.6186339244E-13
  5.4751386801E+00, -2.6714604604E+00, -2.3557092505E-01,  1.6166994221E-13
  5.5037219881E+00, -2.6647345201E+00, -2.3504933261E-01,  1.6147490320E-13
  5.5323326795E+00, -2.6580170575E+00, -2.3452787324E-01,  1.6127829486E-13
  5.5609708597E+00, -2.6513080725E+00, -2.3400655128E-01,  1.6108013638E-13
  5.5896366342E+00, -2.6446075651E+00, -2.3348537104E-01,  1.6088044670E-13
  5.6183301088E+00, -2.6379155354E+00, -2.3296433675E-01,  1.6067924450E-13
  5.6470513891E+00, -2.6312319833E+00, -2.3244345264E-01,  1.6047654825E-13
  5.6758005812E+00, -2.6245569088E+00, -2.3192272288E-01,  1.6027237616E-13
  5.7045777910E+00, -2.6178903119E+00, -2.3140215160E-01,  1.6006674620E-13
  5.7333831248E+00, -2.6112321927E+00, -2.3088174288E-01,  1.5985967614E-13
  5.7622166890E+00, -2.6045825511E+00, -2.3036150079E-01,  1.5965118348E-13
  5.7910785900E+00, -2.5979413871E+00, -2.2984142933E-01,  1.5944128554E-13
  5.8199689346E+00, -2.5913087008E+00, -2.2932153249E-01,  1.5922999940E-13
  5.8488878296E+00, -2.5846844921E+00, -2.2880181419E-01,  1.5901734194E-13
  5.8778353821E+00, -2.5780687610E+00, -2.2828227836E-01,  1.5880332982E-13
  5.9068116991E+00, -2.5714615076E+00, -2.2776292884E-01,  1.5858797950E-13
  5.9358168880E+00, -2.5648627318E+00, -2.2724376948E-01,  1.5837130722E-13
  5.9648510565E+00, -2.5582724336E+00, -2.2672480406E-01,  1.5815332905E-13
  5.9939143121E+00, -2.5516906131E+00, -2.2620603635E-01,  1.5793406084E-13
  6.0230067628E+00, -2.5451172702E+00, -2.2568747007E-01,  1.5771351826E-13
  6.0521285167E+00, -2.5385524049E+00, -2.2516910892E-01,  1.5749171678E-13
  6.0812796820E+00, -2.5319960172E+00, -2.2465095655E-01,  1.5726867169E-13
  6.1104603672E+00, -2.5254481072E+00, -2.2413301659E-01,  1.5704439810E-13
  6.1396706811E+00, -2.5189086748E+00, -2.2361529264E-01,  1.5681891093E-13
  6.1689107323E+00, -2.5123777200E+00, -2.2309778825E-01,  1.5659222494E-13
  6.1981806301E+00, -2.5058552429E+00, -2.2258050696E-01,  1.5636435469E-13
  6.2274804838E+00, -2.4993412434E+00, -2.2206345226E-01,  1.5613531460E-13
  6.2568104027E+00, -2.4928357215E+00, -2.2154662762E-01,  1.5590511889E-13
  6.2861704967E+00, -2.4863386773E+00, -2.2103003648E-01,  1.5567378164E-13
  6.3155608757E+00, -2.4798501107E+00, -2.2051368225E-01,  1.5544131675E-13
  6.3449816497E+00, -2.4733700217E+00, -2.1999756830E-01,  1.5520773797E-13
  6.3744329293E+00, -2.4668984104E+00, -2.1948169799E-01,  1.5497305888E-13
  6.4039148250E+00, -2.4604352766E+00, -2.1896607463E-01,  1.5473729291E-13
  6.4334274477E+00, -2.4539806205E+00, -2.1845070151E-01,  1.5450045336E-13
  6.4629709085E+00, -2.4475344421E+00, -2.1793558191E-01,  1.5426255333E-13
  6.4925453186E+00, -2.4410967413E+00, -2.1742071905E-01,  1.5402360582E-13
  6.5221507897E+00, -2.4346675181E+00, -2.1690611614E-01,  1.5378362365E-13
  6.5517874336E+00, -2.4282467725E+00, -2.1639177636E-01,  1.5354261953E-13
  6.5814553623E+00, -2.4218345046E+00, -2.1587770288E-01,  1.5330060599E-13
  6.6111546882E+00, -2.4154307143E+00, -2.1536389881E-01,  1.5305759546E-13
  6.6408855238E+00, -2.4090354016E+00, -2.1485036726E-01,  1.5281360020E-13
  6.6706479820E+00, -2.4026485666E+00, -2.1433711131E-01,  1.5256863236E-13
  6.7004421759E+00, -2.3962702092E+00, -2.1382413401E-01,  1.5232270394E-13
  6.7302682188E+00, -2.3899003294E+00, -2.1331143838E-01,  1.5207582681E-13
  6.7601262244E+00, -2.3835389272E+00, -2.1279902743E-01,  1.5182801273E-13
  6.7900163066E+00, -2.3771860027E+00, -2.1228690413E-01,  1.5157927331E-13
  6.8199385796E+00, -2.3708415558E+00, -2.1177507144E-01,  1.5132962006E-13
  6.8498931579E+00, -2.3645055866E+00, -2.1126353229E-01,  1.5107906433E-13
  6.8798801562E+00, -2.3581780949E+00, -2.1075228958E-01,  1.5082761740E-13
  6.9098996896E+00, -2.3518590809E+00, -2.1024134619E-01,  1.5057529038E-13
  6.9399518733E+00, -2.3455485446E+00, -2.0973070499E-01,  1.5032209430E-13
